status	size	property_type	rooms	floor	year_built	property_condition	location
pierwotny	65.1	blok	4	7	2024	do wykończenia	Nowe Miasto
wtórny	68.0	brak informacji	2	1	brak informacji	do zamieszkania	Nowe Miasto
wtórny	37.0	brak informacji	1	1	2023	do wykończenia	Nowe Miasto
pierwotny	62.99	apartamentowiec	3	zapytaj	2023	do wykończenia	Stare Miasto
pierwotny	72.19	szeregowiec	3	1	2022	do wykończenia	Jeżyce
wtórny	74.0	blok	4	4	brak informacji	zapytaj	Nowe Miasto
wtórny	40.0	apartamentowiec	2	4	2022	do zamieszkania	Nowe Miasto
pierwotny	27.62	apartamentowiec	1	1	brak informacji	do wykończenia	Nowe Miasto
wtórny	95.99	brak informacji	4	1	2010	do zamieszkania	Jeżyce
wtórny	60.0	apartamentowiec	3	1	2015	do zamieszkania	Nowe Miasto
wtórny	44.63	blok	3	2	brak informacji	do remontu	Wilda
wtórny	52.0	blok	2	1	2005	do zamieszkania	Grunwald
wtórny	45.91	apartamentowiec	2	3	2018	do zamieszkania	Nowe Miasto
wtórny	48.0	blok	2	1	brak informacji	brak informacji	Poznań
wtórny	54.0	blok	2	3	2016	do zamieszkania	Stare Miasto
brak informacji	33.03	brak informacji	2	0	brak informacji	do wykończenia	Grunwald
pierwotny	50.79	blok	3	4	2023	do wykończenia	Nowe Miasto
